,Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID,bus
0,Borssele,Hard Coal,Steam Turbine,PP,NL,485.0,,1973.0,1973.0,2034.0,51.4332,3.716,,0.0,0.0,0.0,{'49W000000000054X'},"{'BEYONDCOAL': {'BEYOND-NL-2'}, 'ENTSOE': {'49W000000000054X'}, 'GEM': {'G100000500496'}, 'OPSD': {'OEU-97'}, 'WIKIPEDIA': {'WIKIPEDIA-132'}, 'GPD': {'WRI1019300'}, 'GEO': {'GEO-2401'}}",NL0 0
1,Maasvlakte 2,Hard Coal,Steam Turbine,PP,NL,1102.6366000495566,,1975.0,1975.0,2029.0,51.9586,4.0264,,0.0,0.0,0.0,{'49W000000000102B'},"{'BEYONDCOAL': {'BEYOND-NL-10'}, 'ENTSOE': {'49W000000000102B'}, 'GEM': {'G100000106535'}, 'GPD': {'WRI1019296', 'WRI1019295'}, 'GEO': {'GEO-44522', 'GEO-44521'}}",NL0 0
2,Eemshaven 3,Hard Coal,Steam Turbine,PP,NL,1604.1703044199232,,2014.0,2014.0,2029.0,53.4405,6.8612,,0.0,0.0,0.0,{'49W000000000066Q'},"{'BEYONDCOAL': {'BEYOND-NL-12'}, 'ENTSOE': {'49W000000000066Q'}, 'GEM': {'G100000102597', 'G100000102596'}, 'GPD': {'WRI1019289'}, 'GEO': {'GEO-44523'}}",NL0 0
3,Flevo,Natural Gas,CCGT,PP,NL,872.1,0.59,2010.0,2010.0,2050.0,52.5772,5.53,,0.0,0.0,0.0,"{'49W000000000074R', '49W000000000072V'}","{'ENTSOE': {'49W000000000074R', '49W000000000072V'}, 'GEM': {'L100000400544'}, 'OPSD': {'OEU-150', 'OEU-149'}, 'GPD': {'WRI1019290'}, 'GEO': {'GEO-44501'}}",NL0 0
4,Eemshaven 2,Natural Gas,CCGT,PP,NL,1410.0,0.58,2013.0,2013.0,2053.0,53.4502,6.8548,,0.0,0.0,0.0,{'49W000000000044-'},"{'ENTSOE': {'49W000000000044-'}, 'GEM': {'L100000400541'}, 'OPSD': {'OEU-146', 'OEU-147', 'OEU-145'}, 'GPD': {'WRI1019311'}, 'GEO': {'GEO-44513'}}",NL0 0
5,Tnz Elsta 3,Natural Gas,CCGT,CHP,NL,455.0,,1998.0,1998.0,2038.0,51.3331,3.7787,,0.0,0.0,0.0,{'49W000000000048S'},"{'ENTSOE': {'49W000000000048S'}, 'GEM': {'L100000400519'}, 'OPSD': {'OEU-129'}, 'GPD': {'WRI1005509'}, 'GEO': {'GEO-44511'}}",NL0 0
6,Sloecentrale 4,Natural Gas,CCGT,CHP,NL,870.0,0.59,2009.0,2009.0,2049.0,51.4482,3.6928,,0.0,0.0,0.0,"{'49W0000000000512', '49W000000000117Z'}","{'ENTSOE': {'49W0000000000512', '49W000000000117Z'}, 'GEM': {'L100000400564'}, 'OPSD': {'OEU-160', 'OEU-159'}, 'GPD': {'WRI1019287'}, 'GEO': {'GEO-44496'}}",NL0 0
7,Rijnmond 5,Natural Gas,CCGT,CHP,NL,790.0,0.2073234811165845,2004.0,2004.0,2044.0,51.890175,4.354686,,0.0,0.0,0.0,{'49W0000000001128'},"{'ENTSOE': {'49W0000000001128'}, 'GEM': {'L100000406400'}, 'OPSD': {'OEU-157', 'OEU-156'}, 'GPD': {'WRI1005515'}, 'GEO': {'GEO-44512', 'GEO-44497'}}",NL0 0
8,Diemen 6,Natural Gas,CCGT,CHP,NL,684.0,0.3661198288159771,1995.0,1995.0,2035.0,52.3389,5.0213,,0.0,0.0,0.0,{'49W0000000000431'},"{'ENTSOE': {'49W0000000000431'}, 'GEM': {'L100000400509'}, 'OPSD': {'OEU-102', 'OEU-101'}, 'GPD': {'WRI1019310'}, 'GEO': {'GEO-44500', 'GEO-44499'}}",NL0 0
9,Delesto 7,Natural Gas,CCGT,CHP,NL,343.0,0.3771428571428571,1987.0,1987.0,2027.0,53.3185,6.9544,,0.0,0.0,0.0,{'49W000000000152X'},"{'ENTSOE': {'49W000000000152X'}, 'GEM': {'L100000400502'}, 'OPSD': {'OEU-124', 'OEU-125'}, 'GPD': {'WRI1005506'}, 'GEO': {'GEO-45078', 'GEO-41986'}}",NL0 0
